date,r_BRA_NGDP_RPCH,r_BRA_PCPI,r_BRA_PPPEX,r_BRA_TMG_RPCH,r_BRA_TXG_RPCH,r_CHN_NGDP_RPCH,r_CHN_PCPI,r_CHN_PPPEX,r_COL_NGDP_RPCH,r_COL_PCPI,r_COL_PPPEX,r_COL_TMG_RPCH,r_COL_TXG_RPCH,r_DEU_NGDP_RPCH,r_DEU_PCPI,r_DEU_PPPEX,r_DEU_TMG_RPCH,r_DEU_TXG_RPCH,r_FRA_NGDP_RPCH,r_FRA_PCPI,r_FRA_PPPEX,r_FRA_TMG_RPCH,r_FRA_TXG_RPCH,r_ITA_NGDP_RPCH,r_ITA_PCPI,r_ITA_PPPEX,r_ITA_TMG_RPCH,r_ITA_TXG_RPCH,r_JPN_NGDP_RPCH,r_JPN_PCPI,r_JPN_PPPEX,r_JPN_TMG_RPCH,r_JPN_TXG_RPCH,r_NLD_NGDP_RPCH,r_NLD_PCPI,r_NLD_PPPEX,r_NLD_TMG_RPCH,r_NLD_TXG_RPCH,r_USA_NGDP_RPCH,r_USA_PCPI,r_USA_TMG_RPCH,r_USA_TXG_RPCH,r_VNM_NGDP_RPCH,r_VNM_PCPI,r_VNM_PPPEX,r_VNM_TMG_RPCH,r_VNM_TXG_RPCH
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,-1.2473608445297504,4.327724704646819,,0.16554261189454333,-1.4498634412797502,1.3137860082304527,0.03400295925335772,0.029205607476635587,-0.4460532461466604,0.30318527177089427,0.21946912032213062,-1.4715079589337854,-0.42775063094023524,-0.1244102743316442,0.034736658362029216,0.10797546012269943,0.2335888624548419,1.175196065399442,-0.6249569114098585,0.03406002870141389,-0.008456659619450302,-0.3329969727547931,0.149658536585366,-0.2739656912209889,0.0621455760118077,0.0401284109149278,-0.23185161496642137,-0.8877172983756055,-0.30165542611894547,0.032727069850479795,-0.004391332127657188,-0.5639909125331314,-0.5877315275841466,-0.4133556725706079,0.031733236823057176,-0.0023724792408066353,0.07838053450339055,-0.09209011675711243,-1.0572640509013786,0.04216351084510728,-0.844253859348199,-0.21594490486751494,0.15098078066177933,0.8181961113149205,0.671411292852276,-0.7097225528159815,0.0010736855021782343
1992-12-31,-1.4529582929194957,9.519561181665242,,-1.2324039978958443,3.1199768719283023,0.587038683859493,0.06398084702385876,0.05505107832009082,0.8351602023608768,0.27020966476062336,0.20280955829109337,-5.92409109069117,-0.25110256169653755,-0.6168429455198563,0.05045547955709595,0.029900332225913706,-0.9190714285714285,-1.0653874358347593,0.36948529411764697,0.024537522330326356,-0.00213219616204674,-0.7122541603630863,-0.1773591310251188,-0.49756775538568454,0.04982447158633807,0.021604938271605034,-0.2160699417152373,11.294416243654823,-0.7518290898448932,0.017265782848746136,-0.005987893686334456,6.27181936604429,5.156521739130435,-0.3516931864545084,0.028397404212574084,0.0023781212841855748,-0.6269650453116331,-0.5647527621807644,-33.61111111111111,0.030411186263925805,19.762114537444933,0.12014292094685142,0.49767601996901334,0.3770213011270287,0.29609801701645533,-0.9,0.5739895198112339
1993-12-31,-10.989293361884368,19.273808363449664,11.0,-14.386600271616116,-0.1211143077678759,-0.02787700497303358,0.1476308710945582,0.1247982786444326,0.31173903055364116,0.22455644805366748,0.21036514396256245,0.8217038539553754,0.48164390427264747,-1.5088541666666666,0.044761737911702904,0.015053763440860068,-9.095322153574582,5.147663551401869,-1.4543624161073825,0.022335903163052118,-0.0064102564102563875,-5.784437434279706,-0.9717350938724985,-2.1549100968188104,0.04498667641987564,0.015105740181268867,-3.82793414763675,0.7582576383154416,-1.6108490566037736,0.012543679833459054,-0.017601356896646103,-0.8298202663163552,-1.180947897049592,-0.20453115166771552,0.016450122484418017,-0.008303677342823224,-0.661378284581061,0.7923429047024555,-0.21862578080636008,0.029698948028622718,0.061425843411839764,-0.5679160021265285,-0.07149425287356326,0.08379210014024663,0.14691010138698246,11.923599999999999,-0.555427926173974
1994-12-31,0.14340836012861735,20.75826907120918,22.666666666666664,-0.016942274525717838,-0.387624750499002,-0.0612436054470783,0.24265302442982062,0.17886178861788604,-0.09859894921190893,0.22850140560801568,0.2299048004323938,-0.5253089856363434,0.31509513742071893,-3.4554759467758447,0.027179229199854715,-0.0010593220338983578,-1.9410161360662888,-2.442991790817878,-4.4903988183161,0.016660793572485844,-0.011827956989247324,-3.4061538461538463,71.56934306569343,-3.4838323353293412,0.04166666666666674,0.014880952380952328,-2.1414084507042253,0.44839732300105695,-2.691119691119691,0.0069021944362859244,-0.01875212332848797,3.547719298245614,-1.6799653078924544,1.380537974683544,0.021171768940954072,0.0,14.522693997071741,1.2502902252147665,0.46402616279069786,0.025956047759127854,0.3346326836581708,1.9440172254690866,0.09358752166377826,0.09485089616810871,0.1451202891001966,-0.43735491658670955,0.17867308955550687
1995-12-31,-0.17191601049868765,0.6600803958921819,0.8978873239436622,0.3351221190230478,0.3591916558018253,-0.15810883413922794,0.16757648851085438,0.11277890466531448,0.010685836409559002,0.20882473742885654,0.16410675337210257,-0.6304653781197223,-1.3503311684136068,-0.3576490204251772,0.017318078550342175,-0.0010604453870625141,-0.15699223728420808,-0.2644332069110831,-0.04358865848497684,0.01769101723349098,-0.01088139281828071,-0.22552064303982478,-0.0036210018105008457,0.29363548698167796,0.05387200000000014,0.048387096774193505,-0.04730174399473519,0.11681258106355363,2.0034246575342465,-0.0008855089071777567,-0.025666057462000458,0.09405138492400278,1.1116071428571428,-0.07843137254901955,0.013488281775135391,-0.0035885167464114742,0.11177136389360509,0.13423442014032183,-0.33382973442541564,0.028051948051948106,-0.32546993185052053,0.2172186814334971,0.07991849671722884,0.16924515320973077,0.14636551508407392,-0.12965866270594384,-0.49942411294817013
1996-12-31,-0.49988680099615124,0.1575743609672473,0.16326530612244894,-0.8425486962795012,-0.7373621103117507,-0.09554198194912933,0.08299290141195104,0.047028800583303054,-0.6047673971549403,0.20803805455781,0.14766547778961514,-0.8236638314078963,-0.7997430249632893,-0.4704737183646982,0.012744049211019126,-0.0127388535031846,-0.42454645409565694,-0.13678029217989118,-0.39867256637168136,0.020802964456493545,-0.004400440044004417,-0.9321853992216063,-0.6959418534221684,-0.5277674245247856,0.039853037180985984,0.02657342657342654,-1.107590018133149,-0.8191188212237788,0.1911820600532117,0.0013867890099577007,-0.022357628856370604,-0.11755994358251054,-0.12836001208094228,0.2600072124053372,0.014458364038320015,-0.008403361344537785,-0.5652837872232122,-0.7011734740289275,0.40536512667660185,0.029366792883720683,0.04096813589430437,-0.23716738197424891,-0.020964360587002018,0.05592854664232583,0.0674218170220171,-0.38245425528552923,1.6849254063682921
1997-12-31,0.5368945224083295,0.06925758878887045,0.05901116427432229,1.762232040582556,3.12600438276114,-0.06793669992944251,0.027882160580591453,-0.0010445682451252214,0.6682879377431907,0.18474766955962707,0.1485998074823578,12.399568034557234,-6.129239230064162,1.1875,0.015079291722234656,-0.013978494623655968,1.2889897301170286,0.9538742326198772,0.7181751287711553,0.012665154143867596,-0.007734806629834279,12.549565217391306,3.3738379814077026,0.4443567482241517,0.01848391052969678,0.008174386920980936,-9.83868378812199,0.5136436597110754,-0.686981493299298,0.016993273495907957,-0.011994565800293233,-0.9269559657955726,3.021136521136521,0.2386949055523755,0.018567215353546995,0.009685230024213176,0.9344262295081971,1.693759512937595,0.1789501590668081,0.023377832179423352,0.5367960750853245,0.6299088556318215,-0.12719486081370457,0.030948162542149937,0.04790936605015306,-1.1711785476690038,-0.32459777740918894
1998-12-31,-0.9004418262150221,0.03196227869347745,0.037650602409638356,-0.8484597156398104,-0.6720368239355581,-0.15042716556721103,-0.007744258086121669,-0.021261763680725076,-0.8338192419825073,0.18649528589839237,0.13496001236875754,-0.9396625832796045,0.19692637598284501,0.13165266106442575,0.005957723577235674,-0.004362050163576936,0.08941986644407351,-0.39707880434782605,0.5408993576017129,0.006760763847704743,-0.00222717149220486,0.5324091900911307,-0.3424168817367542,-0.010382513661202242,0.020313082370480906,0.012162162162162149,-0.21102333605738677,-0.3263520678685048,-2.2945973496432215,0.006521961707791624,-0.011392351625023278,-9.274617067833697,-1.1747522619560535,0.07855822550831792,0.017843643469454884,0.008393285371702586,-0.19279661016949168,-0.20205672957396315,0.0076456037778276364,0.015467995639308452,-0.17766673606773542,-0.8497756299620297,-0.2928115799803729,0.08110430468165308,0.07625765035976295,-1.2576980568011957,-1.1656024885396201
1999-12-31,0.3846153846153846,0.04858502808333842,0.06531204644412192,-6.548475371383894,1.2280701754385968,-0.022403258655804503,-0.01399220936282719,-0.026709401709401615,-8.375438596491229,0.10876089752751184,0.11057412475696293,-22.098842386464824,-0.8250223947447,-0.06584158415841579,0.006465545110108328,-0.009857612267250793,-0.18896657408294226,-0.2264788732394366,-0.08504724847137302,0.005759765420462859,-0.011160714285714302,-0.4058128821509339,-0.46946785178344685,-0.10215350635008291,0.01650860554970146,0.001335113484646211,-0.3351363793301876,-0.996064541519087,-0.737007874015748,-0.0034687255231062863,-0.026134062126351387,-1.7481158270527568,-2.7342209072978303,0.07797772065124242,0.02036154708520188,-0.0011890606420927874,0.12223472065991747,0.22390596232828197,0.0700736442758314,0.0219314389477816,0.08650519031141868,0.9195772058823526,-0.17189939288811795,0.041086583083352446,0.0426583324074834,-7.354988399071925,-4.654720711814138
2000-12-31,8.376068376068375,0.07043924147595226,0.032697547683923744,-1.923765236384133,0.3101150817686249,0.10312499999999991,0.003565519995436084,-0.0014635931211123276,-1.695765937202664,0.0921887084300077,0.08690979646567842,-1.4666160209335697,-2.5486348122866893,0.5389507154213036,0.014132822838641923,-0.02765486725663724,0.3799008030231461,1.6207210487982522,0.2503037667071688,0.018143481882548995,-0.007900677200902928,1.3817310403157599,1.7828546562228023,1.3290282902829031,0.025805114029025633,-0.0040000000000000036,1.1251514626969015,1241.1,-9.278443113772456,-0.00686973031459881,-0.035223001753946326,1.6118769883351005,2.856696047767984,-0.16554054054054057,0.02347108346037108,0.011904761904761862,0.41017930727252505,0.64302244850729,-0.1497393117831074,0.033670902793202284,0.006757806431567426,1.3765860665549439,0.4216589861751152,-0.01768233367400962,0.011179163114784618,-1.5980284775465499,-1.1255156556434707
2001-12-31,-0.6832269826800365,0.06840471411287363,0.058047493403694084,-0.7965067500572038,-0.15247341655108637,-0.01805949008498564,0.007105704459540174,-0.0014657383657017409,-0.4263247863247863,0.07959212576122354,0.04171470415107992,0.32914254703328516,-1.4104683195592287,-0.4190771349862259,0.019003458629470504,-0.009101251422070522,-0.9749251176722293,-0.5472104495240742,-0.5298833819241981,0.01783294556796977,-0.0022753128555176305,-0.9389204545454546,-0.7624706802189211,-0.484816477422762,0.023242653300456606,0.006693440428380271,-0.8601449865602346,-0.7781982127042911,-0.8603978300180832,-0.006937806419783699,-0.03263925410831259,-0.9045879009338206,-1.5892804482453555,-0.4455822814955942,0.05113926088940168,0.018823529411764683,-0.8807455378297268,-0.9423198816818086,-0.7660044150110376,0.028166233042185462,-1.259316410770774,-1.6377556159967765,0.01591277442168848,-0.0030962080852396934,-0.0029791431782625333,0.025946275946276076,-3.158943965517241
