date, value
1990-08-13 00:00:00, 87.01
1990-08-14 00:00:00, 86.37
1990-08-15 00:00:00, 86.3
1990-08-16 00:00:00, 85.87
1990-08-17 00:00:00, 85.62
1990-08-20 00:00:00, 86.18
1990-08-21 00:00:00, 86.17
1990-08-22 00:00:00, 85.97
1990-08-23 00:00:00, 85.12
1990-08-24 00:00:00, 85.66
1990-08-27 00:00:00, 85.3
1990-08-28 00:00:00, 85.4
1990-08-29 00:00:00, 85.57
1990-08-30 00:00:00, 85.92
1990-08-31 00:00:00, 86.58
1990-09-04 00:00:00, 86.85
1990-09-05 00:00:00, 85.72
1990-09-06 00:00:00, 85.47
1990-09-07 00:00:00, 86.05
1990-09-10 00:00:00, 86.68
1990-09-11 00:00:00, 86.9
1990-09-12 00:00:00, 86.94
1990-09-13 00:00:00, 85.79
1990-09-14 00:00:00, 85.72
1990-09-17 00:00:00, 84.92
1990-09-18 00:00:00, 85.24
1990-09-19 00:00:00, 85.98
1990-09-20 00:00:00, 86.22
1990-09-21 00:00:00, 86.31
1990-09-24 00:00:00, 85.48
1990-09-25 00:00:00, 85.96
1990-09-26 00:00:00, 85.75
1990-09-27 00:00:00, 85.72
1990-09-28 00:00:00, 85.91
1990-10-01 00:00:00, 85.43
1990-10-02 00:00:00, 85.1
1990-10-03 00:00:00, 84.71
1990-10-04 00:00:00, 84.13
1990-10-05 00:00:00, 84.24
1990-10-08 00:00:00, 83.57
1990-10-09 00:00:00, 83.21
1990-10-10 00:00:00, 83.29
1990-10-11 00:00:00, 82.79
1990-10-12 00:00:00, 83.16
1990-10-15 00:00:00, 83.25
1990-10-16 00:00:00, 82.59
1990-10-17 00:00:00, 82.56
1990-10-18 00:00:00, 81.96
1990-10-19 00:00:00, 82.3
1990-10-22 00:00:00, 82.96
1990-10-23 00:00:00, 83.16
1990-10-24 00:00:00, 82.48
1990-10-25 00:00:00, 83.04
1990-10-26 00:00:00, 82.88
1990-10-29 00:00:00, 83.24
1990-10-30 00:00:00, 82.99
1990-10-31 00:00:00, 83.27
1990-11-01 00:00:00, 82.82
1990-11-02 00:00:00, 82.22
1990-11-05 00:00:00, 81.71
1990-11-06 00:00:00, 82.11
1990-11-07 00:00:00, 82.04
1990-11-08 00:00:00, 82.32
1990-11-09 00:00:00, 82.12
1990-11-12 00:00:00, 81.71
1990-11-13 00:00:00, 81.85
1990-11-14 00:00:00, 81.63
1990-11-15 00:00:00, 81.84
1990-11-16 00:00:00, 81.59
1990-11-19 00:00:00, 81.54
1990-11-20 00:00:00, 81.63
1990-11-21 00:00:00, 81.51
1990-11-23 00:00:00, 81.86
1990-11-26 00:00:00, 82.1
1990-11-27 00:00:00, 81.71
1990-11-28 00:00:00, 82.23
1990-11-29 00:00:00, 83.21
1990-11-30 00:00:00, 82.94
1990-12-03 00:00:00, 83.82
1990-12-04 00:00:00, 83.23
1990-12-05 00:00:00, 83.21
1990-12-06 00:00:00, 82.71
1990-12-07 00:00:00, 81.93
1990-12-10 00:00:00, 82.1
1990-12-11 00:00:00, 82.33
1990-12-12 00:00:00, 82.13
1990-12-13 00:00:00, 82.31
1990-12-14 00:00:00, 82.58
1990-12-17 00:00:00, 82.78
1990-12-18 00:00:00, 82.34
1990-12-19 00:00:00, 82.61
1990-12-20 00:00:00, 83.89
1990-12-21 00:00:00, 84.7
1990-12-24 00:00:00, 85.29
1990-12-26 00:00:00, 85.03
1990-12-27 00:00:00, 84.73
1990-12-28 00:00:00, 83.26
1990-12-31 00:00:00, 83.12
1991-01-02 00:00:00, 82.81
1991-01-03 00:00:00, 82.81
1991-01-04 00:00:00, 83.36
1991-01-07 00:00:00, 84.67
1991-01-08 00:00:00, 84.95
1991-01-09 00:00:00, 84.53
1991-01-10 00:00:00, 84.19
1991-01-11 00:00:00, 84.29
1991-01-14 00:00:00, 84.83
1991-01-15 00:00:00, 84.85
1991-01-16 00:00:00, 85.11
1991-01-17 00:00:00, 83.37
1991-01-18 00:00:00, 82.94
1991-01-21 00:00:00, 82.59
1991-01-22 00:00:00, 82.79
1991-01-23 00:00:00, 82.21
1991-01-24 00:00:00, 82.46
1991-01-25 00:00:00, 82.63
1991-01-28 00:00:00, 82.41
1991-01-29 00:00:00, 82.7
1991-01-30 00:00:00, 82.34
1991-01-31 00:00:00, 82.0
1991-02-01 00:00:00, 81.64
1991-02-04 00:00:00, 81.38
1991-02-05 00:00:00, 81.06
1991-02-06 00:00:00, 80.52
1991-02-07 00:00:00, 80.87
1991-02-08 00:00:00, 80.84
1991-02-11 00:00:00, 80.49
1991-02-12 00:00:00, 80.89
1991-02-13 00:00:00, 81.23
1991-02-14 00:00:00, 81.36
1991-02-15 00:00:00, 81.92
1991-02-19 00:00:00, 82.61
1991-02-20 00:00:00, 82.67
1991-02-21 00:00:00, 82.47
1991-02-22 00:00:00, 83.12
1991-02-25 00:00:00, 83.85
1991-02-26 00:00:00, 83.93
1991-02-27 00:00:00, 83.84
1991-02-28 00:00:00, 84.07
1991-03-01 00:00:00, 84.84
1991-03-04 00:00:00, 84.73
1991-03-05 00:00:00, 85.05
1991-03-06 00:00:00, 84.94
1991-03-07 00:00:00, 85.24
1991-03-08 00:00:00, 86.31
1991-03-11 00:00:00, 86.9
1991-03-12 00:00:00, 86.21
1991-03-13 00:00:00, 86.35
1991-03-14 00:00:00, 86.72
1991-03-15 00:00:00, 87.9
1991-03-18 00:00:00, 88.87
1991-03-19 00:00:00, 89.64
1991-03-20 00:00:00, 89.41
1991-03-21 00:00:00, 88.87
1991-03-22 00:00:00, 89.47
1991-03-25 00:00:00, 91.08
1991-03-26 00:00:00, 91.04
1991-03-27 00:00:00, 91.87
1991-03-28 00:00:00, 92.01
1991-04-01 00:00:00, 90.55
1991-04-02 00:00:00, 90.35
1991-04-03 00:00:00, 90.46
1991-04-04 00:00:00, 89.93
1991-04-05 00:00:00, 90.64
1991-04-08 00:00:00, 90.96
1991-04-09 00:00:00, 89.62
1991-04-10 00:00:00, 90.52
1991-04-11 00:00:00, 89.94
1991-04-12 00:00:00, 90.36
1991-04-15 00:00:00, 89.64
1991-04-16 00:00:00, 89.57
1991-04-17 00:00:00, 89.84
1991-04-18 00:00:00, 91.35
1991-04-19 00:00:00, 92.71
1991-04-22 00:00:00, 93.81
1991-04-23 00:00:00, 92.93
1991-04-24 00:00:00, 93.15
1991-04-25 00:00:00, 93.26
1991-04-26 00:00:00, 93.46
1991-04-29 00:00:00, 93.31
1991-04-30 00:00:00, 91.54
1991-05-01 00:00:00, 91.86
1991-05-02 00:00:00, 92.26
1991-05-03 00:00:00, 93.41
1991-05-06 00:00:00, 92.69
1991-05-07 00:00:00, 92.07
1991-05-08 00:00:00, 92.6
1991-05-09 00:00:00, 92.51
1991-05-10 00:00:00, 92.38
1991-05-13 00:00:00, 92.01
1991-05-14 00:00:00, 91.29
1991-05-15 00:00:00, 90.79
1991-05-16 00:00:00, 91.15
1991-05-17 00:00:00, 92.95
1991-05-20 00:00:00, 92.72
1991-05-21 00:00:00, 91.82
1991-05-22 00:00:00, 92.27
1991-05-23 00:00:00, 91.9
1991-05-24 00:00:00, 91.68
1991-05-28 00:00:00, 91.17
1991-05-29 00:00:00, 92.02
1991-05-30 00:00:00, 92.18
1991-05-31 00:00:00, 93.15
1991-06-03 00:00:00, 93.44
1991-06-04 00:00:00, 93.27
1991-06-05 00:00:00, 93.49
1991-06-06 00:00:00, 93.7
1991-06-07 00:00:00, 94.56
1991-06-10 00:00:00, 94.56
1991-06-11 00:00:00, 94.85
1991-06-12 00:00:00, 95.56
1991-06-13 00:00:00, 95.91
1991-06-14 00:00:00, 95.79
1991-06-17 00:00:00, 95.78
1991-06-18 00:00:00, 96.73
1991-06-19 00:00:00, 95.6
1991-06-20 00:00:00, 95.45
1991-06-21 00:00:00, 95.91
1991-06-24 00:00:00, 95.05
1991-06-25 00:00:00, 95.55
1991-06-26 00:00:00, 95.3
1991-06-27 00:00:00, 95.5
1991-06-28 00:00:00, 96.03
1991-07-01 00:00:00, 96.81
1991-07-02 00:00:00, 97.15
1991-07-03 00:00:00, 97.07
1991-07-05 00:00:00, 96.72
1991-07-08 00:00:00, 96.03
1991-07-09 00:00:00, 96.48
1991-07-10 00:00:00, 96.35
1991-07-11 00:00:00, 97.18
1991-07-12 00:00:00, 95.15
1991-07-15 00:00:00, 95.21
1991-07-16 00:00:00, 95.64
1991-07-17 00:00:00, 95.24
1991-07-18 00:00:00, 94.66
1991-07-19 00:00:00, 93.48
1991-07-22 00:00:00, 94.17
1991-07-23 00:00:00, 94.0
1991-07-24 00:00:00, 93.23
1991-07-25 00:00:00, 94.19
1991-07-26 00:00:00, 93.52
1991-07-29 00:00:00, 93.68
1991-07-30 00:00:00, 94.0
1991-07-31 00:00:00, 93.49
1991-08-01 00:00:00, 93.97
1991-08-02 00:00:00, 93.33
1991-08-05 00:00:00, 92.39
1991-08-06 00:00:00, 91.97
1991-08-07 00:00:00, 92.02
1991-08-08 00:00:00, 92.3
1991-08-09 00:00:00, 92.87
1991-08-12 00:00:00, 92.7
1991-08-13 00:00:00, 93.0
1991-08-14 00:00:00, 93.21
1991-08-15 00:00:00, 93.68
1991-08-16 00:00:00, 94.38
1991-08-19 00:00:00, 96.46
1991-08-20 00:00:00, 95.46
1991-08-21 00:00:00, 93.23
1991-08-22 00:00:00, 92.9
1991-08-23 00:00:00, 93.58
1991-08-26 00:00:00, 93.56
1991-08-27 00:00:00, 93.6
1991-08-28 00:00:00, 93.1
1991-08-29 00:00:00, 93.37
1991-08-30 00:00:00, 93.49
1991-09-03 00:00:00, 92.95
1991-09-04 00:00:00, 92.92
1991-09-05 00:00:00, 93.0
1991-09-06 00:00:00, 92.12
1991-09-09 00:00:00, 91.16
1991-09-10 00:00:00, 91.16
1991-09-11 00:00:00, 90.95
1991-09-12 00:00:00, 90.77
1991-09-13 00:00:00, 90.95
1991-09-16 00:00:00, 90.34
1991-09-17 00:00:00, 90.24
1991-09-18 00:00:00, 90.83
1991-09-19 00:00:00, 90.93
1991-09-20 00:00:00, 90.77
1991-09-23 00:00:00, 90.15
1991-09-24 00:00:00, 90.85
1991-09-25 00:00:00, 90.51
1991-09-26 00:00:00, 90.83
1991-09-27 00:00:00, 90.07
1991-09-30 00:00:00, 89.9
1991-10-01 00:00:00, 90.02
1991-10-02 00:00:00, 89.82
1991-10-03 00:00:00, 89.52
1991-10-04 00:00:00, 90.06
1991-10-07 00:00:00, 90.13
1991-10-08 00:00:00, 91.19
1991-10-09 00:00:00, 90.6
1991-10-10 00:00:00, 90.81
1991-10-11 00:00:00, 90.5
1991-10-14 00:00:00, 90.92
1991-10-15 00:00:00, 91.52
1991-10-16 00:00:00, 91.25
1991-10-17 00:00:00, 90.75
1991-10-18 00:00:00, 90.43
1991-10-21 00:00:00, 90.74
1991-10-22 00:00:00, 91.03
1991-10-23 00:00:00, 91.62
1991-10-24 00:00:00, 91.08
1991-10-25 00:00:00, 91.11
1991-10-28 00:00:00, 91.89
