date,r_coffee,r_china_gdp_yoy_forecast,r_coffee_inventory,r_coffee_nearby,r_coffee_total_consumption_usda,r_colombia_coffee_exports,r_crude_nearby,r_non_commercial_net_position,r_sugar_nearby,r_vix_index
1990-01-02,,,,,,,,,,
1990-01-03,0.002122015915119402,,,0.014771598808341668,,,0.034512887723896934,,0.09216589861751157,0.05510440835266839
1990-01-04,-0.020222339862360994,,,0.008929663608562732,,,-0.011402027027026973,,-0.0035161744022503827,0.05662451896646492
1990-01-05,0.005619191700886095,,,-0.0160038797284191,,,-0.01409653994019655,,-0.0007057163020465218,0.04630593132154015
1990-01-08,-0.010853212980872606,,,0.0027106949236077593,,,-0.06325823223570182,,-0.007062146892655385,0.007458975634013099
1990-01-09,0.003367734926670307,,,0.01794052592774653,,,0.02081406105457906,,0.01920341394025593,0.09575518262586358
1990-01-10,0.001515807708964978,,,-0.0032592950265573073,,,0.03760761214318076,,0.01465457083042554,0.010810810810810922
1990-01-11,-0.0006486486486486642,,,-0.011747608090105333,,,0.010480349344978324,,-0.0013755158184318717,-0.10650623885918009
1990-01-12,0.0012981393336217728,,,-0.03137254901960773,,,-0.0004321521175454368,,0.0027548209366392573,0.22892768079800496
1990-01-15,0.004213483146067398,,,-0.018724696356275383,,,-0.03329009943795935,,0.006181318681318659,0.06899350649350655
1990-01-16,-0.0008606777837546487,,,-0.00012893243940181875,,,0.01878354203935606,,-0.011604095563139905,-0.08200455580865607
1990-01-17,-0.001076773985140611,,,0.015602836879432758,,,-0.02985074626865669,,-0.012430939226519278,-0.0008271298593879317
1990-01-18,0.010887140239301596,,,0.007745048247841613,,,0.029864253393665052,,0.007692307692307665,0.007450331125827825
1990-01-19,-0.00021326508850494363,,,0.02444248456595699,,,0.039982425307557135,,-0.010409437890353979,-0.07559572719802798
1990-01-22,0.00639931740614319,,,0.002213749846267321,,,-0.0473172792564428,,0.02384291725105192,0.18666666666666654
1990-01-23,-0.01388300127172537,,,-0.017548165419069783,,,-0.04212860310421285,,0.007534246575342518,-0.07415730337078652
1990-01-24,-0.0019344438473938297,,,0.005870597052210824,,,-0.0004629629629629983,,0.009517335146159045,0.027103559870550242
1990-01-25,-0.003230321955421722,,,0.009685831367192366,,,0.030106530801296882,,0.020875420875420936,0.00945254037022436
1990-01-26,-0.00043210543372573795,,,0.007502152256795069,,,0.014388489208633004,,-0.01978891820580475,0.025360905189231397
